rank,name,year,rating,genre,certificate,run_time
1,The Shawshank Redemption,1994,9.3,Drama,R,2h 22m
2,The Godfather,1972,9.2,"Crime,Drama",R,2h 55m
3,The Dark Knight,2008,9.0,"Action,Crime,Drama",PG-13,2h 32m
4,The Godfather Part II,1974,9.0,"Crime,Drama",R,3h 22m
5,12 Angry Men,1957,9.0,"Crime,Drama",Approved,1h 36m
6,Schindler's List,1993,9.0,"Biography,Drama,History",R,3h 15m
7,The Lord of the Rings: The Return of the King,2003,9.0,"Action,Adventure,Drama",PG-13,3h 21m
8,Pulp Fiction,1994,8.9,"Crime,Drama",R,2h 34m
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama",PG-13,2h 58m
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western",Approved,2h 58m
11,Forrest Gump,1994,8.8,"Drama,Romance",PG-13,2h 22m
12,Fight Club,1999,8.8,Drama,R,2h 19m
13,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama",PG-13,2h 59m
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,2h 28m
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",PG,2h 4m
16,The Matrix,1999,8.7,"Action,Sci-Fi",R,2h 16m
17,Goodfellas,1990,8.7,"Biography,Crime,Drama",R,2h 25m
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,18+,2h 13m
19,Se7en,1995,8.6,"Crime,Drama,Mystery",R,2h 7m
20,Seven Samurai,1954,8.6,"Action,Drama",Not Rated,3h 27m
21,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy",PG,2h 10m
22,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller",R,1h 58m
23,City of God,2002,8.6,"Crime,Drama",R,2h 10m
24,Saving Private Ryan,1998,8.6,"Drama,War",R,2h 49m
25,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi",PG-13,2h 49m
26,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance",PG-13,1h 56m
27,The Green Mile,1999,8.6,"Crime,Drama,Fantasy",R,3h 9m
28,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy",PG,2h 1m
29,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi",R,2h 17m
30,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",PG,1h 56m
31,Spirited Away,2001,8.6,"Animation,Adventure,Family",PG,2h 5m
32,The Pianist,2002,8.5,"Biography,Drama,Music",R,2h 30m
33,Psycho,1960,8.5,"Horror,Mystery,Thriller",R,1h 49m
34,Parasite,2019,8.5,"Drama,Thriller",R,2h 12m
35,Léon: The Professional,1994,8.5,"Action,Crime,Drama",R,1h 50m
36,The Lion King,1994,8.5,"Animation,Adventure,Drama",G,1h 28m
37,Gladiator,2000,8.5,"Action,Adventure,Drama",R,2h 35m
38,American History X,1998,8.5,"Crime,Drama",R,1h 59m
39,The Departed,2006,8.5,"Crime,Drama,Thriller",R,2h 31m
40,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery",R,1h 46m
41,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi",PG-13,2h 10m
42,Whiplash,2014,8.5,"Drama,Music",R,1h 46m
43,Casablanca,1942,8.5,"Drama,Romance,War",PG,1h 42m
44,Grave of the Fireflies,1988,8.5,"Animation,Drama,War",Not Rated,1h 29m
45,Harakiri,1962,8.6,"Action,Drama,Mystery",Not Rated,2h 13m
46,The Intouchables,2011,8.5,"Biography,Comedy,Drama",R,1h 52m
47,Modern Times,1936,8.5,"Comedy,Drama,Romance",G,1h 27m
48,Once Upon a Time in the West,1968,8.5,Western,PG-13,2h 45m
49,Rear Window,1954,8.5,"Mystery,Thriller",PG,1h 52m
50,Cinema Paradiso,1988,8.5,"Drama,Romance",PG,2h 35m
51,Alien,1979,8.5,"Horror,Sci-Fi",R,1h 57m
52,City Lights,1931,8.5,"Comedy,Drama,Romance",G,1h 27m
53,Apocalypse Now,1979,8.5,"Drama,Mystery,War",R,2h 27m
54,Memento,2000,8.4,"Mystery,Thriller",R,1h 53m
55,Django Unchained,2012,8.4,"Drama,Western",R,2h 45m
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,"Action,Adventure",PG,1h 55m
57,WALL·E,2008,8.4,"Animation,Adventure,Family",G,1h 38m
58,The Lives of Others,2006,8.4,"Drama,Mystery,Thriller",R,2h 17m
59,Sunset Blvd.,1950,8.4,"Drama,Film-Noir",Passed,1h 50m
60,Paths of Glory,1957,8.4,"Drama,War",Approved,1h 28m
61,The Shining,1980,8.4,"Drama,Horror",R,2h 26m
62,The Great Dictator,1940,8.4,"Comedy,Drama,War",G,2h 5m
63,Avengers: Infinity War,2018,8.4,"Action,Adventure,Sci-Fi",PG-13,2h 29m
64,Witness for the Prosecution,1957,8.4,"Crime,Drama,Mystery",Approved,1h 56m
65,Aliens,1986,8.4,"Action,Adventure,Sci-Fi",R,2h 17m
66,Spider-Man: Into the Spider-Verse,2018,8.4,"Animation,Action,Adventure",PG,1h 57m
67,American Beauty,1999,8.4,Drama,R,2h 2m
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy,War",PG,1h 35m
69,The Dark Knight Rises,2012,8.4,"Action,Drama",PG-13,2h 44m
70,Oldboy,2003,8.4,"Action,Drama,Mystery",R,2h
71,Inglourious Basterds,2009,8.3,"Adventure,Drama,War",R,2h 33m
72,Amadeus,1984,8.4,"Biography,Drama,Music",PG,2h 40m
73,Coco,2017,8.4,"Animation,Adventure,Comedy",PG,1h 45m
74,Toy Story,1995,8.3,"Animation,Adventure,Comedy",G,1h 21m
75,Joker,2019,8.4,"Crime,Drama,Thriller",R,2h 2m
76,Braveheart,1995,8.4,"Biography,Drama,History",R,2h 58m
77,The Boat,1981,8.4,"Drama,War",Not Available,Not Available
78,Avengers: Endgame,2019,8.4,"Action,Adventure,Drama",PG-13,3h 1m
79,Princess Mononoke,1997,8.4,"Animation,Action,Adventure",PG-13,2h 14m
80,Once Upon a Time in America,1984,8.3,"Crime,Drama",R,3h 49m
81,Good Will Hunting,1997,8.3,"Drama,Romance",R,2h 6m
82,Your Name.,2016,8.4,"Animation,Drama,Fantasy",TV-PG,1h 46m
83,3 Idiots,2009,8.4,"Comedy,Drama",PG-13,2h 50m
84,Singin' in the Rain,1952,8.3,"Comedy,Musical,Romance",G,1h 43m
85,Requiem for a Dream,2000,8.3,Drama,Unrated,1h 42m
86,Toy Story 3,2010,8.3,"Animation,Adventure,Comedy",G,1h 43m
87,High and Low,1963,8.4,"Crime,Drama,Mystery",Not Rated,2h 23m
88,Capernaum,2018,8.4,Drama,R,2h 6m
89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy",PG,2h 11m
90,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama,Romance,Sci-Fi",R,1h 48m
91,2001: A Space Odyssey,1968,8.3,"Adventure,Sci-Fi",G,2h 29m
92,Reservoir Dogs,1992,8.3,"Crime,Thriller",R,1h 39m
93,Come and See,1985,8.4,"Drama,Thriller,War",Not Rated,2h 22m
94,The Hunt,2012,8.3,Drama,R,1h 55m
95,Citizen Kane,1941,8.3,"Drama,Mystery",PG,1h 59m
96,M,1931,8.3,"Crime,Mystery,Thriller",Passed,1h 39m
97,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama",Approved,3h 38m
98,North by Northwest,1959,8.3,"Action,Adventure,Mystery",Approved,2h 16m
99,Vertigo,1958,8.3,"Mystery,Romance,Thriller",PG,2h 8m
100,Ikiru,1952,8.3,Drama,Not Rated,2h 23m
101,Amélie,2001,8.3,"Comedy,Romance",R,2h 2m
102,The Apartment,1960,8.3,"Comedy,Drama,Romance",Approved,2h 5m
103,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi",X,2h 16m
104,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir",Passed,1h 47m
105,Full Metal Jacket,1987,8.3,"Drama,War",R,1h 56m
106,Top Gun: Maverick,2022,8.3,"Action,Drama",PG-13,2h 10m
107,Scarface,1983,8.3,"Crime,Drama",R,2h 50m
108,Hamilton,2020,8.4,"Biography,Drama,History",PG-13,2h 40m
109,Incendies,2010,8.3,"Drama,Mystery",R,2h 11m
110,To Kill a Mockingbird,1962,8.3,"Crime,Drama",Approved,2h 9m
111,Heat,1995,8.3,"Action,Crime,Drama",R,2h 50m
112,The Sting,1973,8.3,"Comedy,Crime,Drama",PG,2h 9m
113,Up,2009,8.3,"Animation,Adventure,Comedy",PG,1h 36m
114,A Separation,2011,8.3,Drama,PG-13,2h 3m
115,Metropolis,1927,8.3,"Drama,Sci-Fi",Not Rated,2h 33m
116,Taxi Driver,1976,8.2,"Crime,Drama",R,1h 54m
117,L.A. Confidential,1997,8.2,"Crime,Drama,Mystery",R,2h 18m
118,Die Hard,1988,8.2,"Action,Thriller",R,2h 12m
119,Snatch,2000,8.2,"Comedy,Crime",R,1h 42m
120,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure",PG-13,2h 7m
121,Bicycle Thieves,1948,8.3,Drama,Not Rated,1h 29m
122,Like Stars on Earth,2007,8.3,"Drama,Family",PG,2h 45m
123,1917,2019,8.2,"Action,Drama,War",R,1h 59m
124,Downfall,2004,8.2,"Biography,Drama,History",R,2h 36m
125,Dangal,2016,8.3,"Action,Biography,Drama",Not Rated,2h 41m
126,For a Few Dollars More,1965,8.2,Western,R,2h 12m
127,Batman Begins,2005,8.2,"Action,Crime,Drama",PG-13,2h 20m
128,The Kid,1921,8.3,"Comedy,Drama,Family",Passed,1h 8m
129,Some Like It Hot,1959,8.2,"Comedy,Music,Romance",Passed,2h 1m
130,The Father,2020,8.2,"Drama,Mystery",PG-13,1h 37m
131,All About Eve,1950,8.2,Drama,Passed,2h 18m
132,The Wolf of Wall Street,2013,8.2,"Biography,Comedy,Crime",R,3h
133,Green Book,2018,8.2,"Biography,Comedy,Drama",PG-13,2h 10m
134,Judgment at Nuremberg,1961,8.3,"Drama,War",Approved,2h 59m
135,Casino,1995,8.2,"Crime,Drama",R,2h 58m
136,Ran,1985,8.2,"Action,Drama,War",R,2h 42m
137,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War",R,1h 58m
138,The Truman Show,1998,8.2,"Comedy,Drama",PG,1h 43m
139,There Will Be Blood,2007,8.2,Drama,R,2h 38m
140,Unforgiven,1992,8.2,"Drama,Western",R,2h 10m
141,The Sixth Sense,1999,8.2,"Drama,Mystery,Thriller",PG-13,1h 47m
142,Shutter Island,2010,8.2,"Mystery,Thriller",R,2h 18m
143,A Beautiful Mind,2001,8.2,"Biography,Drama",PG-13,2h 15m
144,Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi",PG-13,2h 7m
145,Yojimbo,1961,8.2,"Action,Drama,Thriller",Not Rated,1h 50m
146,The Treasure of the Sierra Madre,1948,8.2,"Adventure,Drama,Western",Passed,2h 6m
147,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy",PG,1h 31m
148,The Great Escape,1963,8.2,"Adventure,Drama,History",Approved,2h 52m
149,No Country for Old Men,2007,8.2,"Crime,Drama,Thriller",R,2h 2m
150,Spider-Man: No Way Home,2021,8.2,"Action,Adventure,Fantasy",PG-13,2h 28m
151,Kill Bill: Vol. 1,2003,8.2,"Action,Crime,Drama",R,1h 51m
152,Rashomon,1950,8.2,"Crime,Drama,Mystery",Not Rated,1h 28m
153,The Thing,1982,8.2,"Horror,Mystery,Sci-Fi",R,1h 49m
154,Finding Nemo,2003,8.2,"Animation,Adventure,Comedy",G,1h 40m
155,The Elephant Man,1980,8.2,"Biography,Drama",PG,2h 4m
156,Chinatown,1974,8.2,"Drama,Mystery,Thriller",R,2h 10m
157,Raging Bull,1980,8.2,"Biography,Drama,Sport",R,2h 9m
158,V for Vendetta,2005,8.2,"Action,Drama,Sci-Fi",R,2h 12m
159,Gone with the Wind,1939,8.2,"Drama,Romance,War",Passed,3h 58m
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action,Comedy,Crime",R,1h 47m
161,Inside Out,2015,8.2,"Animation,Adventure,Comedy",PG,1h 35m
162,Dial M for Murder,1954,8.2,"Crime,Thriller",PG,1h 45m
163,The Secret in Their Eyes,2009,8.2,"Drama,Mystery,Romance",R,2h 9m
164,Howl's Moving Castle,2004,8.2,"Animation,Adventure,Family",PG,1h 59m
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy,Crime,Drama",R,1h 55m
166,The Bridge on the River Kwai,1957,8.2,"Adventure,Drama,War",PG,2h 41m
167,Trainspotting,1996,8.1,Drama,R,1h 33m
168,Prisoners,2013,8.1,"Crime,Drama,Mystery",R,2h 33m
169,Warrior,2011,8.2,"Action,Drama,Sport",PG-13,2h 20m
170,Fargo,1996,8.1,"Crime,Thriller",R,1h 38m
171,Gran Torino,2008,8.1,Drama,R,1h 56m
172,My Neighbor Totoro,1988,8.1,"Animation,Comedy,Family",G,1h 26m
173,Catch Me If You Can,2002,8.1,"Biography,Crime,Drama",PG-13,2h 21m
174,Million Dollar Baby,2004,8.1,"Drama,Sport",PG-13,2h 12m
175,Children of Heaven,1997,8.2,"Drama,Family,Sport",PG,1h 29m
176,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi",R,1h 57m
177,The Gold Rush,1925,8.1,"Adventure,Comedy,Drama",Passed,1h 35m
178,Before Sunrise,1995,8.1,"Drama,Romance",R,1h 41m
179,12 Years a Slave,2013,8.1,"Biography,Drama,History",R,2h 14m
180,Klaus,2019,8.2,"Animation,Adventure,Comedy",PG,1h 36m
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Adventure,Family,Fantasy",PG-13,2h 10m
182,On the Waterfront,1954,8.1,"Crime,Drama,Thriller",Approved,1h 48m
183,Ben-Hur,1959,8.1,"Adventure,Drama",G,3h 32m
184,Gone Girl,2014,8.1,"Drama,Mystery,Thriller",R,2h 29m
185,The Grand Budapest Hotel,2014,8.1,"Adventure,Comedy,Crime",R,1h 39m
186,Wild Strawberries,1957,8.1,"Drama,Romance",Not Rated,1h 31m
187,The General,1926,8.1,"Action,Adventure,Comedy",Passed,1h 7m
188,The Third Man,1949,8.1,"Film-Noir,Mystery,Thriller",Approved,1h 33m
189,In the Name of the Father,1993,8.1,"Biography,Crime,Drama",R,2h 13m
190,The Deer Hunter,1978,8.1,"Drama,War",R,3h 3m
191,Barry Lyndon,1975,8.1,"Adventure,Drama,War",PG,3h 5m
192,Hacksaw Ridge,2016,8.1,"Biography,Drama,History",R,2h 19m
193,The Wages of Fear,1953,8.2,"Adventure,Drama,Thriller",Not Rated,2h 11m
194,Memories of Murder,2003,8.1,"Crime,Drama,Mystery",Not Rated,2h 12m
195,Sherlock Jr.,1924,8.2,"Action,Comedy,Romance",Passed,45m
196,Wild Tales,2014,8.1,"Comedy,Drama,Thriller",R,2h 2m
197,Mr. Smith Goes to Washington,1939,8.1,"Comedy,Drama",Passed,2h 9m
198,Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi",R,2h
199,The Seventh Seal,1957,8.1,"Drama,Fantasy",Not Rated,1h 36m
200,Mary and Max,2009,8.1,"Animation,Comedy,Drama",Not Rated,1h 32m
201,How to Train Your Dragon,2010,8.1,"Animation,Action,Adventure",PG,1h 38m
202,Room,2015,8.1,"Drama,Thriller",R,1h 58m
203,"Monsters, Inc.",2001,8.1,"Animation,Adventure,Comedy",G,1h 32m
204,Jaws,1975,8.1,"Adventure,Thriller",PG,2h 4m
205,Dead Poets Society,1989,8.1,"Comedy,Drama",PG,2h 8m
206,The Big Lebowski,1998,8.1,"Comedy,Crime",R,1h 57m
207,Tokyo Story,1953,8.2,Drama,Not Rated,2h 16m
208,The Passion of Joan of Arc,1928,8.2,"Biography,Drama,History",Passed,1h 54m
209,Hotel Rwanda,2004,8.1,"Biography,Drama,History",PG-13,2h 1m
210,Ford v Ferrari,2019,8.1,"Action,Biography,Drama",PG-13,2h 32m
211,Rocky,1976,8.1,"Drama,Sport",PG,2h
212,Platoon,1986,8.1,"Drama,War",R,2h
213,Ratatouille,2007,8.1,"Animation,Adventure,Comedy",G,1h 51m
214,Spotlight,2015,8.1,"Biography,Crime,Drama",R,2h 9m
215,The Terminator,1984,8.1,"Action,Sci-Fi",R,1h 47m
216,Logan,2017,8.1,"Action,Drama,Sci-Fi",R,2h 17m
217,Stand by Me,1986,8.1,"Adventure,Drama",13+,1h 29m
218,Rush,2013,8.1,"Action,Biography,Drama",R,2h 3m
219,Network,1976,8.1,Drama,R,2h 1m
220,Into the Wild,2007,8.1,"Adventure,Biography,Drama",R,2h 28m
221,Before Sunset,2004,8.1,"Drama,Romance",R,1h 20m
222,The Wizard of Oz,1939,8.1,"Adventure,Family,Fantasy",G,1h 42m
223,Pather Panchali,1955,8.3,Drama,Not Rated,2h 5m
224,Groundhog Day,1993,8.1,"Comedy,Drama,Fantasy",PG,1h 41m
225,The Best Years of Our Lives,1946,8.1,"Drama,Romance,War",Approved,2h 50m
226,The Exorcist,1973,8.1,Horror,R,2h 2m
227,The Incredibles,2004,8.0,"Animation,Action,Adventure",PG,1h 55m
228,To Be or Not to Be,1942,8.2,"Comedy,Romance,War",Passed,1h 39m
229,La haine,1995,8.1,"Crime,Drama",Not Rated,1h 38m
230,The Battle of Algiers,1966,8.1,"Drama,War",Not Rated,2h 1m
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action,Adventure,Fantasy",PG-13,2h 23m
232,Hachi: A Dog's Tale,2009,8.1,"Biography,Drama,Family",G,1h 33m
233,The Grapes of Wrath,1940,8.1,Drama,Passed,2h 9m
234,Jai Bhim,2021,8.8,"Crime,Drama,Mystery",TV-MA,2h 44m
235,My Father and My Son,2005,8.2,"Drama,Family",Not Rated,1h 52m
236,Amores Perros,2000,8.1,"Drama,Thriller",R,2h 34m
237,Rebecca,1940,8.1,"Drama,Film-Noir,Mystery",Approved,2h 10m
238,Cool Hand Luke,1967,8.1,"Crime,Drama",GP,2h 7m
239,The Handmaiden,2016,8.1,"Drama,Romance,Thriller",Not Rated,2h 25m
240,The 400 Blows,1959,8.1,"Crime,Drama",Not Rated,1h 39m
241,The Sound of Music,1965,8.1,"Biography,Drama,Family",G,2h 52m
242,It Happened One Night,1934,8.1,"Comedy,Romance",Passed,1h 45m
243,Persona,1966,8.1,"Drama,Thriller",Not Rated,1h 23m
244,Life of Brian,1979,8.0,Comedy,R,1h 34m
245,The Iron Giant,1999,8.1,"Animation,Action,Adventure",PG,1h 26m
246,The Help,2011,8.1,Drama,PG-13,2h 26m
247,Dersu Uzala,1975,8.2,"Adventure,Biography,Drama",G,2h 22m
248,Aladdin,1992,8.0,"Animation,Adventure,Comedy",G,1h 30m
249,Gandhi,1982,8.0,"Biography,Drama,History",PG,3h 11m
250,Dances with Wolves,1990,8.0,"Adventure,Drama,Western",PG-13,3h 1m
